0	ffffff
100	312b2b
110	030708
b0000 	f0f9fe
b000 	e6f4f5
b00 	ddf0f4
b01 	d6eef2
b02 	b3e3f1
b04 	73cfe6
b05 	40c5e6
b06 	00b3e6
b12 	c8e6f0
b14 	71cfeb
b16 	00bcea
b18 	1d8acb
b21 	dbedf9
b23 	92c2e8
b24 	8acef3
b26 	65b3e3
b28 	196db6
b29 	0177c1
b32 	e2eff7
b34 	82c3ed
b37 	156fa4
b39 	2b64a9
b41 	e2f0fb
b45 	75c0ea
b52 	adcddc
b60 	dae1f3
b63 	a7bbe0
b66 	6888c5
b69 	2165ae
b79 	3b479d
b91 	d5e2eb
b93 	95c1da
b95 	60c5cf
b97 	457a9a
b99 	0f547e
bg0000 	eff8f3
bg000 	e5f4ed
bg01 	c7e6fa
bg02 	c6e8ea
bg05 	1db8ce
bg07 	1db8ce
bg09 	dcf0ef
bg10 	dcf0ef
bg11 	ceebf1
bg13 	c4e7e9
bg15 	a0d9d2
bg18 	37c0b0
bg23 	bde5dd
bg32 	bce2d7
bg34 	a3dad7
bg45 	afdfdf
bg49 	00b6b9
bg53 	accfd1
bg57 	64bebe
bg70 	daecee
bg72 	74b8bb
bg75 	59918e
bg78 	49706b
bg90 	bac1b9
bg93 	bac1b9
bg96 	81a291
bg99 	6e9b87
bv0000 	eae7f2
bv000 	eae7f2
bv00 	e0dced
bv01 	c4c9e6
bv02 	aab8db
bv04 	7c97ce
bv08 	eae7f2
bv11 	d4d2e8
bv13 	8491c8
bv17 	6e84bd
bv20 	cfdbf1
bv23 	b1c0dd
bv25 	8184a7
bv29 	384558
bv31 	eae7f2
bv34 	9fa7bc
c00 	e0e7ed
c0 	e0e7ed
c10 	202b31
c1 	dae3e8
c2 	ccd7dd
c3 	c1ccd2
c4 	92a0ab
c5 	92a0ab
c6 	637079
c7 	637079
c8 	535d66
c9 	3c474d
e0000 	fffaf4
e000 	fef5ee
e00 	fdf3ea
e01 	ffeee4
e02 	feece0
e04 	e4bcc4
e07 	cc816a
e08 	ca6553
e09 	d96a4f
e11 	fee9d6
e13 	e9c5af
e15 	fbbb8d
e17 	b85f57
e18 	88534d
e19 	c45238
e21 	fde2c7
e23 	eccab1
e25 	d2a482
e27 	997663
e29 	884636
e30 	f7f0d6
e31 	f2e6ce
e33 	f3d2b1
e34 	f0caa6
e35 	e6c3a3
e37 	cc9159
e39 	c5743f
e40 	f2e8dc
e41 	fef1e1
e42 	f3ead9
e43 	e8dabd
e44 	8a6e59
e47 	8a6e59
e49 	634c3c
e50 	f4ebf0
e51 	feecd6
e53 	f1dfb9
e55 	f1dfb9
e57 	b18558
e59 	9a7f6c
e70 	efeae6
e71 	a1847c
e74 	a1847c
e77 	7f604e
e79 	4a2c22
e81 	f0e6c2
e84 	ae9f80
e87 	6f604d
e89 	5a4939
e93 	fed2b9
e95 	fcbc7e
e97 	b46034
e99 	b46034
frv1 	f5a3c7
fv2 	7f74b6
fy1 	fff697
fyr1 	fecc99
g0000 	f1f7f3
g000 	eaf5ed
g00 	e3f2ed
g02 	cfe8d3
g03 	b6da9c
g05 	69c07b
g07 	7bc576
g09 	7ac465
g12 	d2e8c4
g14 	97cf90
g16 	60c198
g17 	14b37d
g19 	2db98a
g20 	edf6db
g21 	c4e4cd
g24 	c3e0b4
g28 	119462
g29 	197c5d
g40 	e4f1df
g43 	d7e7a8
g46 	589F75
g82 	ccdab9
g85 	9dc3aa
g94 	98a786
g99 	5f7e3a
n0 	eceeed
n10 	312f30
n1 	e2e3e5
n2 	dadbdd
n3 	d1d2d4
n4 	bcbdc1
n5 	a8a9ad
n6 	949599
n7 	77787c
n8 	636466
n9 	4c4d4f
r0000 	fef3ef
r000 	fef0e7
r00 	feeae1
r01 	fde0d8
r02 	fdd3c7
r05 	f6917b
r07 	f26f39
r08 	f26754
r11 	fde1d5
r12 	fcd3c1
r14 	f59b92
r17 	f4846c
r20 	fcd7cf
r21 	fac1b6
r22 	f8b7b1
r24 	f27579
r27 	f15062
r29 	ed174b
r30 	fce3df
r32 	fac1ba
r35 	f27185
r37 	e86c74
r39 	cb487a
r43 	ee848e
r46 	e04d69
r56 	d27c95
r59 	b74f70
r81 	f1c8d6
r83 	f19cb9
r85 	d36a93
r89 	7d2b42
rv0000 	f2eaf5
rv000 	f4e2ee
rv00 	f1daea
rv02 	fad5e6
rv04 	f6a3bf
rv06 	f386af
rv10 	fdecf4
rv11 	fbd6dd
rv13 	f9c9d7
rv14 	f495b7
rv17 	db7eb3
rv19 	d268aa
rv21 	fde8e7
rv23 	f8bac9
rv25 	f493be
rv29 	ef4880
rv32 	fad3ce
rv34 	f9afae
rv42 	f8bbb6
rv52 	f9cade
rv55 	e9a5ca
rv63 	d09dae
rv66 	b86a84
rv69 	8b576e
rv95 	b684a1
rv99 	5a4858
t0 	eceeed
t10 	322e2d
t1 	eaeae8
t2 	e0e0de
t3 	d1d2cc
t4 	bcbbb9
t5 	a8a7a3
t6 	949590
t7 	777674
t8 	63645f
t9 	4c4b49
tg13 	d4e59f
tr000 	feecd8
v0000 	f0edf6
v000 	e9e5f3
v01 	e4c1d9
v04 	e6aace
v05 	e2a6ca
v06 	ce95c2
v09 	8754a1
v12 	eed7e9
v15 	d3a6cd
v17 	a092c7
v20 	e2e0ed
v22 	b2b1d0
v25 	857fad
v28 	6b668e
v91 	e8c4d0
v93 	e5c1db
v95 	b77ca8
v99 	524358
w00 	f3f3eb
w0 	ecece4
w10 	302f2b
w1 	e7e7df
w2 	ddddd5
w3 	d2d2ca
w4 	bcbdb7
w5 	a8a9a4
